
폭염일수
지점/지역명 : 서울

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2016,0,0,0,0,0,0,4,20,0,0,0,0,24,4
2017,0,0,0,0,0,1,5,7,0,0,0,0,13,9
2018,0,0,0,0,0,0,16,19,0,0,0,0,35,1
2019,0,0,0,0,1,0,4,10,0,0,0,0,15,7
2020,0,0,0,0,0,2,0,2,0,0,0,0,4,11
2021,0,0,0,0,0,0,15,3,0,0,0,0,18,6
2022,0,0,0,0,0,0,10,0,0,0,0,0,10,10
2023,0,0,0,0,0,2,6,11,0,0,0,0,19,5
2024,0,0,0,0,0,4,2,21,6,0,0,0,33,2
2025,0,0,0,0,0,3,15,9,1,0,0,0,28,3
2026,0,0,0,0,0,2,2,11,0,,,,15,7
평균,0.0,0.0,0.0,0.0,0.1,1.3,7.2,10.3,0.6,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2016,서울,2016-08-03,2016-08-13,11
2017,서울,2017-08-01,2017-08-07,7
2018,서울,2018-07-18,2018-08-08,22
2019,서울,2019-08-02,2019-08-06,5
2020,서울,2020-08-25,2020-08-26,2
2021,서울,2021-07-21,2021-07-31,11
2022,서울,2022-07-26,2022-07-30,5
2023,서울,2023-07-28,2023-08-08,12
2024,서울,2024-08-09,2024-08-20,12
2025,서울,2025-07-23,2025-08-02,11
2026,서울,2026-08-01,2026-08-08,8


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2016,서울,2016-07-10,서울,2016-08-23
2017,서울,2017-06-23,서울,2017-08-07
2018,서울,2018-07-15,서울,2018-08-22
2019,서울,2019-05-24,서울,2019-08-14
2020,서울,2020-06-13,서울,2020-08-26
2021,서울,2021-07-14,서울,2021-08-09
2022,서울,2022-07-02,서울,2022-07-30
2023,서울,2023-06-19,서울,2023-08-21
2024,서울,2024-06-14,서울,2024-09-18
2025,서울,2025-06-12,서울,2025-09-05
2026,서울,2026-06-16,서울,2026-08-23


서울 폭염일수


년도,날짜,지점,관측값
2019,0813,서울,35.3
2019,0814,서울,35.7
2020,0613,서울,33.5
2020,0622,서울,35.4
2020,0825,서울,34.5
2020,0826,서울,34.5
2021,0714,서울,33.5
2021,0715,서울,34.5
2021,0716,서울,35.2
2021,0718,서울,34.1
2021,0721,서울,35.3
2021,0722,서울,35.9
2021,0723,서울,35.8
2021,0724,서울,36.5
2021,0725,서울,35.9
2021,0726,서울,35.4
2021,0727,서울,35.7
2021,0728,서울,34.7
2021,0729,서울,33.3
2021,0730,서울,35.4
2021,0731,서울,34.3
2021,0804,서울,33.2
2021,0805,서울,33.7
2021,0809,서울,33.6
2022,0702,서울,33.8
2022,0703,서울,34.2
2022,0705,서울,33.1
2022,0706,서울,33.3
2022,0710,서울,35.1
2022,0726,서울,33.1
2022,0727,서울,33.4
2022,0728,서울,34.4
2022,0729,서울,34.3
2022,0730,서울,36.1
2023,0619,서울,34
2023,0625,서울,33.1
2023,0703,서울,34.9
2023,0721,서울,34.3
2023,0728,서울,34.1
2023,0729,서울,33.3
2023,0730,서울,34.9
2023,0731,서울,33.4
2023,0801,서울,34.2
2023,0802,서울,33.7
2023,0803,서울,33.8
2023,0804,서울,34.4
2023,0805,서울,34.9
2023,0806,서울,33
2023,0807,서울,34.6
2023,0808,서울,35.8
2023,0818,서울,33.3
2023,0819,서울,33.6
2023,0821,서울,33.6
2024,0614,서울,33
2024,0619,서울,35.8
2024,0620,서울,35.4
2024,0621,서울,33.9
2024,0713,서울,33.3
2024,0731,서울,33.3
2024,0801,서울,33.2
2024,0803,서울,34.2
2024,0804,서울,36.2
2024,0805,서울,33.7
2024,0806,서울,33.5
2024,0807,서울,33.4
2024,0809,서울,33.6
2024,0810,서울,33.6
2024,0811,서울,34.4
2024,0812,서울,34.1
2024,0813,서울,36.4
2024,0814,서울,34.9
2024,0815,서울,34.6
2024,0816,서울,34.3
2024,0817,서울,34
2024,0818,서울,33.9
2024,0819,서울,35.3
2024,0820,서울,35.4
2024,0828,서울,33.2
2024,0829,서울,33.5
2024,0831,서울,33
2024,0904,서울,33.3
2024,0909,서울,34.1
2024,0910,서울,33.9
2024,0911,서울,34.6
2024,0917,서울,33.2
2024,0918,서울,33.6
2025,0612,서울,33.1
2025,0615,서울,33.2
2025,0619,서울,34.2
2025,0707,서울,33.2
2025,0708,서울,37.8
2025,0709,서울,36
2025,0710,서울,36.2
2025,0711,서울,36.1
2025,0712,서울,36.5
2025,0723,서울,33.3
2025,0724,서울,34.1
2025,0725,서울,36.3
2025,0726,서울,37.1
2025,0727,서울,38
2025,0728,서울,36.4
2025,0729,서울,36.7
2025,0730,서울,36.3
2025,0731,서울,34.6
2025,0801,서울,35.1
2025,0802,서울,36.2
2025,0804,서울,33.9
2025,0805,서울,33.5
2025,0810,서울,33.2
2025,0812,서울,34.1
2025,0821,서울,34.3
2025,0822,서울,33.5
2025,0824,서울,34.7
2025,0905,서울,33
2026,0616,서울,33.2
2026,0619,서울,34
2026,0712,서울,35
2026,0713,서울,33.5
2026,0801,서울,34
2026,0802,서울,34.9
2026,0803,서울,36.7
2026,0804,서울,36.9
2026,0805,서울,36.9
2026,0806,서울,37.9
2026,0807,서울,38
2026,0808,서울,36.8
2026,0810,서울,34.3
2026,0811,서울,34.4
2026,0823,서울,33.1



